Date,Htemp,Ltemp,Humidity,Pressure,Yield
Feb-15,74,19,61,30.23,7340.00
Mar-15,84,17,72,30.16,7340.00
Apr-15,86,43,67,29.97,7340.00
May-15,87,50,70,30.07,7340.00
Jun-15,98,64,67,29.98,7340.00
15-Jul,101,69,67,29.96,7340.00
Aug-15,102,63,65,29.99,7340.00
Sep-15,98,54,63,30.01,7340.00
Oct-15,97,45,63,30.07,7340.00
Nov-15,78,30,73,30.14,7340.00
Feb-16,75,27,57,30.11,6920.00
Mar-16,87,32,65,30,6920.00
Apr-16,83,43,64,30.01,6920.00
May-16,89,51,67,30.01,6920.00
Jun-16,97,66,68,29.99,6920.00
16-Jul,103,71,70,30,6920.00
Aug-16,100,68,75,30,6920.00
Sep-16,95,56,65,30.05,6920.00
Oct-16,89,44,78,30.1,6920.00
Nov-16,82,29,77,30.15,6920.00
Feb-17,81,25,76,30.01,7490.00
Mar-17,85,29,71,30.14,7490.00
Apr-17,84,43,78,29.94,7490.00
May-17,88,47,77,29.91,7490.00
Jun-17,92,58,82,29.94,7490.00
17-Jul,96,66,80,30.02,7490.00
Aug-17,95,63,85,29.99,7490.00
Sep-17,92,55,74,30.02,7490.00
Oct-17,90,29,73,30.06,7490.00
Nov-17,83,29,75,30.11,7490.00
Feb-18,79,20,86,30.17,7520.00
Mar-18,81,32,67,30.04,7520.00
Apr-18,83,29,70,30.02,7520.00
May-18,92,57,76,29.96,7520.00
Jun-18,97,63,74,29.94,7520.00
18-Jul,101,67,77,30.01,7520.00
Aug-18,95,66,82,30.02,7520.00
Sep-18,94,55,86,30.02,7520.00
Oct-18,89,37,83,30.07,7520.00
Nov-18,70,24,77,30.09,7520.00
Feb-19,77,21,78,30.08,7480.00
Mar-19,76,19,65,30.17,7480.00
Apr-19,86,34,71,29.95,7480.00
May-19,90,50,77,29.93,7480.00
Jun-19,92,57,74,29.94,7480.00
19-Jul,95,62,77,30,7480.00
Aug-19,98,64,77,29.96,7480.00
Sep-19,98,66,73,30.03,7480.00
Oct-19,94,33,75,30.02,7480.00
Nov-19,70,18,75,30.14,7480.00
Feb-20,73,22,73,30.1,7500.00
Mar-20,88,34,76,30.09,7500.00
Apr-20,84,34,73,29.96,7500.00
May-20,87,45,73,29.98,7500.00
Jun-20,94,61,74,29.96,7500.00
20-Jul,94,71,76,29.96,7500.00
Aug-20,97,65,72,29.95,7500.00
Sep-20,90,50,78,30.03,7500.00
Oct-20,84,38,78,30.07,7500.00
Nov-20,80,32,72,30.19,7500.00
